Razón Social;Gpo de Cliente;ClaseDoc.;Num.Factura;Sector;Canal;Fecha.Doc;Zona.Vtas;Almacen;Denominacion Material;Cantidad UMV;UM.Vtas;Cantidad UMB;UM.Base;Prec.Unitario;Monto Neto;IVA;Importe Final;Doc.Comercial;Cond.Pago;Fec.Venc.;Moneda.Doc.;Status de Anulacion;Doc.Anulac;Grp.Vend;Vendedor;Referencia;Pedido.Vta;Jerarquía 1;Jerarquía 2;Jerarquía 3;UM.Peso;Peso.Fact;Peso.Total;Um.PesoGen;Ramo;Gr.Material;Gr.Articulo;Tipo.Cambio;Mes;Ejercicio;Prec.Unitario 2;Monto Neto 2;IVA 2;Importe Final 2;Conc.Busq;Codigo_Mat;Listas_precios;;Cod_cliente;;Ind_retcl;Ind_auto_retcl;fechahora;CodMot;Tx Motivo;CodVend;OrgVtas
CENTRAL MADEIRENSE, C.A;Cadenas;Fact. Nac. Pharsana;6000138569;Cuidado Personal;Venta Directa;20260206;Zona Metropolitana;3000;CHICCO BS COTONCITO (48x60UN);5,000;CS;240,000;PAQ;24329,76;121648,80;19463,80;141112,60;Factura;Crédito 30 Días;20260308;VED;NA;;GV Ger. Reg. CClave;BETTINA Y. CALDERON;00-0628091;1002065644;Chicco;60;Original;KG;3,120;;3,120;Cadena Nacional;PH-Hisopos;ALGODONES PT;381,10740;02;2026;63,84;319,20;51,07;370,27;CUENTAS CLAVE;50001024;Detal;;0010000016;30;01;X;20.02.2026 - 22:04:24;;;00100140;1000
CENTRAL MADEIRENSE, C.A;Cadenas;Fact. Nac. Pharsana;6000138569;Cuidado Personal;Venta Directa;20260206;Zona Metropolitana;3000;CHICCO BS ACEITE (10x220ML);4,000;CS;40,000;ST;24581,40;98325,60;15732,10;114057,70;Factura;Crédito 30 Días;20260308;VED;NA;;GV Ger. Reg. CClave;BETTINA Y. CALDERON;00-0628091;1002065644;Chicco;220;Original;KG;7,280;;7,280;Cadena Nacional;PH-Aceite;HIGIENE PERSONAL;381,10740;02;2026;64,50;258,00;41,28;299,28;CUENTAS CLAVE;50000971;Detal;;0010000016;30;01;X;20.02.2026 - 22:04:24;;;00100140;1000
CENTRAL MADEIRENSE, C.A;Cadenas;Fact. Nac. Pharsana;6000139296;Cuidado Personal;Venta Directa;20260220;Zona Metropolitana;3000;CHICCO BS COTONCITO (48x60UN);5,000;CS;240,000;PAQ;25684,80;128424,00;20547,84;148971,84;Factura;Crédito 30 Días;20260322;VED;NA;;GV Ger. Reg. CClave;BETTINA Y. CALDERON;00-0629008;1002066317;Chicco;60;Original;KG;3,120;;3,120;Cadena Nacional;PH-Hisopos;ALGODONES PT;402,33430;02;2026;63,84;319,20;51,07;370,27;CUENTAS CLAVE;50001024;Detal;;0010000016;30;01;X;20.02.2026 - 22:04:24;;;00100140;1000
CENTRAL MADEIRENSE, C.A;Cadenas;Fact. Nac. Pharsana;6000139296;Cuidado Personal;Venta Directa;20260220;Zona Metropolitana;3000;CHICCO BS MOTAS DE ALGODON (12x100UN);11,000;CS;132,000;PAQ;22208,88;244297,68;39087,63;283385,31;Factura;Crédito 30 Días;20260322;VED;NA;;GV Ger. Reg. CClave;BETTINA Y. CALDERON;00-0629008;1002066317;Chicco;100;Original;KG;11,561;;11,561;Cadena Nacional;PH-Motas De Algodón;ALGODONES PT;402,33430;02;2026;55,20;607,20;97,15;704,35;CUENTAS CLAVE;50001025;Detal;;0010000016;30;01;X;20.02.2026 - 22:04:24;;;00100140;1000
CENTRAL MADEIRENSE, C.A;Cadenas;N/C FI Pharsana;6200044580;Común;Venta Directa;20260204;Zona Metropolitana;;NC DSCTO 3% CENTRALIZACION ENER 26 PROV;0,000;;0,000;;0,00;-14963,69;-2394,19;-17357,88;Abono;Crédito 30 Días;20260306;VED;NA;;GV Ger. Reg. CClave;BETTINA Y. CALDERON;00-0627810;1013036297;Descuentos;;;KG;0,000;;0,000;Cadena Nacional;Descuentos;;375,08250;02;2026;0,00;-39,89;-6,38;-46,28;CUENTAS CLAVE;91000049;Detal;;0010000016;30;01;X;20.02.2026 - 22:04:24;Z52;Dcto Promocional No Reflejado En Factura;00100140;1000
CENTRAL MADEIRENSE, C.A;Cadenas;N/C FI Pharsana;6200044581;Común;Venta Directa;20260204;Zona Metropolitana;;NC DSCTO 3% CENTRALIZACION ENER 26 PROV;0,000;;0,000;;0,00;-3272,54;-523,61;-3796,15;Abono;Crédito 30 Días;20260306;VED;NA;;GV Ger. Reg. CClave;BETTINA Y. CALDERON;00-0627811;1013036298;Descuentos;;;KG;0,000;;0,000;Cadena Nacional;Descuentos;;375,08250;02;2026;0,00;-8,72;-1,40;-10,12;CUENTAS CLAVE;91000049;Detal;;0010000016;30;01;X;20.02.2026 - 22:04:24;Z52;Dcto Promocional No Reflejado En Factura;00100140;1000
CENTRAL MADEIRENSE, C.A;Cadenas;N/C FI Pharsana;6200044582;Común;Venta Directa;20260204;Zona Metropolitana;;NC DSCTO 3% CENTRALIZACION ENER 26 PROV;0,000;;0,000;;0,00;-4948,72;-791,80;-5740,52;Abono;Crédito 30 Días;20260306;VED;NA;;GV Ger. Reg. CClave;BETTINA Y. CALDERON;00-0627812;1013036299;Descuentos;;;KG;0,000;;0,000;Cadena Nacional;Descuentos;;375,08250;02;2026;0,00;-13,19;-2,11;-15,30;CUENTAS CLAVE;91000049;Detal;;0010000016;30;01;X;20.02.2026 - 22:04:24;Z52;Dcto Promocional No Reflejado En Factura;00100140;1000
COMERCIAL GRAN SIGLO, C.A.;Detal;N/C FI Pharsana;6200044722;Común;Venta Directa;20260205;Zona Metropolitana;;NC DSCTO 8% PRONTO PAGO;0,000;;0,000;;0,00;-12,12;-1,94;-14,06;Abono;Crédito 15 Días;20260220;USD;NA;;GV Ger. Reg. Capital;JOHAN A. CISNEROS;00-0628034;1013036418;Descuentos;;;KG;0,000;;0,000;Perfumeria;Descuentos;;0,00000;02;2026;0,00;-12,12;-1,94;-14,06;COMERCIO TRADICIONAL;91000028;Detal;;0010000028;30;01;X;20.02.2026 - 22:04:24;Z51;Dcto Comercial No aplicado En Factura;00100143;1000
COMERCIAL PAGA POCO, C.A;Detal;Fact. Nac. Pharsana;6000138818;Cuidado Personal;Venta Directa;20260211;Zona Metropolitana;3000;CHICCO BS COLONIA (28x100ML);1,000;CS;28,000;ST;24490,62;24490,62;3918,50;28409,12;Factura;Crédito 15 Días;20260226;VED;NA;;GV Ger. Reg. Capital;ADOLFO J. ROMERO;00-0628401;1002065878;Chicco;100;Original;KG;2,464;;2,464;Supermercado;PH-Colonia;HIGIENE PERSONAL;388,73940;02;2026;63,00;63,00;10,08;73,08;COMERCIO TRADICIONAL;50001011;Detal;;0010000044;30;01;X;20.02.2026 - 22:04:24;;;00100127;1000
COMERCIAL PAGA POCO, C.A;Detal;Fact. Nac. Pharsana;6000138818;Cuidado Personal;Venta Directa;20260211;Zona Metropolitana;3000;CHICCO BS TH ORIGINAL (20x48UN);1,000;CS;20,000;PAQ;11545,50;11545,50;1847,28;13392,78;Factura;Crédito 15 Días;20260226;VED;NA;;GV Ger. Reg. Capital;ADOLFO J. ROMERO;00-0628401;1002065878;Chicco;48;Original;KG;5,180;;5,180;Supermercado;PH-TH Flow Pack;TOALLAS HUMEDAS;388,73940;02;2026;29,70;29,70;4,75;34,45;COMERCIO TRADICIONAL;50000975;Detal;;0010000044;30;01;X;20.02.2026 - 22:04:24;;;00100127;1000
