Razón Social;Gpo de Cliente;ClaseDoc.;Num.Factura;Sector;Canal;Fecha.Doc;Zona.Vtas;Almacen;Denominacion Material;Cantidad UMV;UM.Vtas;Cantidad UMB;UM.Base;Prec.Unitario;Monto Neto;IVA;Importe Final;Doc.Comercial;Cond.Pago;Fec.Venc.;Moneda.Doc.;Status de Anulacion;Doc.Anulac;Grp.Vend;Vendedor;Referencia;Pedido.Vta;Jerarquía 1;Jerarquía 2;Jerarquía 3;UM.Peso;Peso.Fact;Peso.Total;Um.PesoGen;Ramo;Gr.Material;Gr.Articulo;Tipo.Cambio;Mes;Ejercicio;Prec.Unitario 2;Monto Neto 2;IVA 2;Importe Final 2;Conc.Busq;Codigo_Mat;Listas_precios;;Cod_cliente;;Ind_retcl;Ind_auto_retcl;fechahora;CodMot;Tx Motivo;CodVend;OrgVtas
DISERKHAT, C.A.;Distribuidores Enf.;Fact. Nac. Ampo.;7000012171;Inyecto Soplado;Distribuidor;20260211;Zona Centro Occid.;3000;ENVASE PET TRANSP FARMA  60 ML;3120,000;PZA;3120,000;PZA;56,27;175547,33;28087,57;203634,90;Factura;Contado;20260211;VED;NA;;GV ClReg. Ampofr.;JORGE REYES;00-056718;1202009400;Farma S/Impresión;Transparente;60 ml.;G;42650,400;TO;0,043;Comercializadora;AM-Farma;ENVASES PT;388,73940;02;2026;0,14;451,58;72,25;523,83;DISERKHAT;70000084;Precio Base General;Distribuidor;0010000748;17;01;X;20.02.2026 - 22:04:07;;;00120005;1200
DISERKHAT, C.A.;Distribuidores Enf.;Fact. Nac. Ampo.;7000012171;Inyecto Soplado;Distribuidor;20260211;Zona Centro Occid.;3000;ENV PET TRANSP COSMETIC OVAL 100 ML (PH);2925,000;PZA;2925,000;PZA;65,36;191182,21;30589,16;221771,37;Factura;Contado;20260211;VED;NA;;GV ClReg. Ampofr.;JORGE REYES;00-056718;1202009400;Cosmetica Cilindrica;Transparente;100 ml.;G;46800,000;TO;0,047;Comercializadora;AM-Cosmética;ENVASES PT;388,73940;02;2026;0,17;491,80;78,69;570,49;DISERKHAT;70000421;Precio Base General;Distribuidor;0010000748;17;01;X;20.02.2026 - 22:04:07;;;00120005;1200
DISERKHAT, C.A.;Distribuidores Enf.;Fact. Nac. Ampo.;7000012172;Inyecto Soplado;Distribuidor;20260211;Zona Centro Occid.;3000;ENV PET TRANSP COSMETIC OVAL 100 ML (PH);3510,000;PZA;3510,000;PZA;66,27;232596,12;37215,38;269811,50;Factura;Contado;20260211;VED;NA;;GV ClReg. Ampofr.;JORGE REYES;00-056719;1202009406;Cosmetica Cilindrica;Transparente;100 ml.;G;56160,000;TO;0,056;Comercializadora;AM-Cosmética;ENVASES PT;388,73940;02;2026;0,17;598,33;95,73;694,07;DISERKHAT;70000421;Precio Base General;Distribuidor;0010000748;17;01;X;20.02.2026 - 22:04:07;;;00120005;1200
BIOQUIMICA INTERNACIONAL, C.A.;Distribuidores Trad.;Fact. Nac. Ampo.;7000012186;Inyecto Soplado;Venta Directa;20260220;Zona Centro Occid.;3000;ENVASE PET AMBAR FARMA  60 ML;8112,000;PZA;8112,000;PZA;59,81;485178,72;77628,60;562807,32;Factura;Contado;20260220;VED;NA;;GV ClReg. Ampofr.;JORGE REYES;00-056737;1202009418;Farma S/Impresión;Ambar;60 ml.;G;113568,000;TO;0,114;Industria Química;AM-Farma;ENVASES PT;402,33430;02;2026;0,15;1205,91;192,95;1398,85;BIOQUIMICA;70000054;Precio Base General;Distribuidor;0010000754;17;01;X;20.02.2026 - 22:04:07;;;00120005;1200
MOLINOS NACIONALES C.A. (MONACA);Manufactura;Fact. Nac. Ampo.;7000012154;Inyecto Soplado;Venta Directa;20260205;Zona Centro;3000;ENVASE MULTIUSOS 828ml  (23g);35280,000;PZA;35280,000;PZA;43,31;1528021,25;244483,40;1772504,65;Factura;Contado;20260205;VED;NA;;GV ClReg. Ampofr.;HORACIO HERNANDEZ;00-056698;1202009392;Jugos;Transparente;500 ml.;G;811440,000;TO;0,811;Alimentos;AM-Env. Plásticos;ENVASES PT;378,45820;02;2026;0,11;4037,49;646,00;4683,49;MOLINOS;70000808;Precio Base General;;0010000887;17;01;X;20.02.2026 - 22:04:07;;;00120003;1200
MOLINOS NACIONALES C.A. (MONACA);Manufactura;Fact. Nac. Ampo.;7000012155;Servicios;Venta Directa;20260205;Zona Centro;;FLETE POR VIAJE CORTINERO;1,000;SER;1,000;SER;220781,16;220781,16;0,00;220781,16;Factura;Contado;20260205;VED;NA;;GV ClReg. Ampofr.;HORACIO HERNANDEZ;00-056699;1202009393;Servicios Administrat.;;;KG;0,000;TO;0,000;Alimentos;Fletes;FLETE PROD TERMINADO;378,45820;02;2026;583,37;583,37;0,00;583,37;MOLINOS;91000036;Precio Base General;;0010000887;17;01;X;20.02.2026 - 22:04:07;;;00120003;1200
MOLINOS NACIONALES C.A. (MONACA);Manufactura;Fact. Nac. Ampo.;7000012165;Inyecto Soplado;Venta Directa;20260210;Zona Centro;3000;ENVASE MULTIUSOS 828ml  (23g);35280,000;PZA;35280,000;PZA;43,31;1528021,25;244483,40;1772504,65;Factura;Contado;20260210;VED;NA;;GV ClReg. Ampofr.;HORACIO HERNANDEZ;00-056712;1202009402;Jugos;Transparente;500 ml.;G;811440,000;TO;0,811;Alimentos;AM-Env. Plásticos;ENVASES PT;385,27200;02;2026;0,11;3966,08;634,57;4600,66;MOLINOS;70000808;Precio Base General;;0010000887;17;01;X;20.02.2026 - 22:04:07;;;00120003;1200
MOLINOS NACIONALES C.A. (MONACA);Manufactura;N/C Dev. Nac. Ampo.;7200000780;Inyecto Soplado;Venta Directa;20260211;Zona Centro;3000;ENVASE MULTIUSOS 828ml  (23g);-35280,000;PZA;-35280,000;PZA;-43,31;-1528021,25;-244483,40;-1772504,65;Abono;Contado;20260211;VED;NA;;GV ClReg. Ampofr.;HORACIO HERNANDEZ;00-056723;1206000339;Jugos;Transparente;500 ml.;G;-811440,000;TO;-0,811;Alimentos;AM-Env. Plásticos;ENVASES PT;388,73940;02;2026;-0,11;-3930,71;-628,91;-4559,62;MOLINOS;70000808;Precio Base General;;0010000887;17;01;X;20.02.2026 - 22:04:07;Z02;Reverso Total De Factura;00120003;1200
ENVASES METROPOLITANOS MM 1, C.A.;Distribuidores Enf.;Fact. Nac. Ampo.;7000012148;Inyecto Soplado;Distribuidor;20260205;Zona Metropolitana;3000;ENVASE PET AMBAR FARMA  60 ML;780,000;PZA;780,000;PZA;37,78;29470,74;4715,32;34186,06;Factura;Contado;20260205;VED;NA;;GV ClReg. Ampofr.;RAMON DAZA;00-056692;1202009391;Farma S/Impresión;Ambar;60 ml.;G;10920,000;TO;0,011;Comercializadora;AM-Farma;ENVASES PT;378,45820;02;2026;0,10;77,87;12,46;90,33;ENVASES;70000054;Precio Base General;Distribuidor;0010000890;17;01;X;20.02.2026 - 22:04:07;;;00120004;1200
RENE DESSES DE VENEZUELA, C.A;Manufactura;Fact. Nac. Ampo.;7000012188;Inyecto Soplado;Venta Directa;20260220;Zona Metropolitana;3000;ENV.PET BLANCO COSMETIC 200 ML SENSITIVE;7021,000;PZA;7021,000;PZA;93,75;658235,74;105317,72;763553,46;Factura;Contado;20260220;VED;NA;;GV ClReg. Ampofr.;RAMON DAZA;00-056739;1202009417;Cosmetica Sensitive;Blanco;200 ml.;G;156217,250;TO;0,156;Cuidado Personal;AM-Cosmética;ENVASES PT;402,33430;02;2026;0,23;1636,04;261,77;1897,81;;70000041;Precio Base General;Cosmetica;0010000954;17;01;X;20.02.2026 - 22:04:07;;;00120004;1200
