Razón Social;Gpo de Cliente;ClaseDoc.;Num.Factura;Sector;Canal;Fecha.Doc;Zona.Vtas;Almacen;Denominacion Material;Cantidad UMV;UM.Vtas;Cantidad UMB;UM.Base;Prec.Unitario;Monto Neto;IVA;Importe Final;Doc.Comercial;Cond.Pago;Fec.Venc.;Moneda.Doc.;Status de Anulacion;Doc.Anulac;Grp.Vend;Vendedor;Referencia;Pedido.Vta;Jerarquía 1;Jerarquía 2;Jerarquía 3;UM.Peso;Peso.Fact;Peso.Total;Um.PesoGen;Ramo;Gr.Material;Gr.Articulo;Tipo.Cambio;Mes;Ejercicio;Prec.Unitario 2;Monto Neto 2;IVA 2;Importe Final 2;Conc.Busq;Codigo_Mat;Listas_precios;;Cod_cliente;;Ind_retcl;Ind_auto_retcl;fechahora;CodMot;Tx Motivo;CodVend;OrgVtas
DISERKHAT, C.A.;Distribuidores Enf.;Fact. Nac-260412;2026041220;Inyecto Soplado;Distribuidor;20260313;Zona Centro Occid.;3000;ENVASE PET TRANSP FARMA  60 ML ACT 26041;3.374,280;PZA;3.374,280;PZA;60,86;189.854,44;30.376,71;220.231,15;F-26041;Contado;20260313;V-2;NA;;GV ClReg. Ampofr.;JORGE REYES;00-260412;2026041220;Farma S/Impresión;Transparente;60 ml.;G;46.126,408;TO;0,046;Comercializadora;AM-Farma;ENVASES PT;420,42166;02;2026;0,15;488,39;78,14;566,52;DISERKHAT;70000084;Precio Base General;Distribuidor;0010000748;17;01;X;13.03.2026 - 08:15:00;;;00120005;1200
DISERKHAT, C.A.;Distribuidores Enf.;Fact. Nac-260412;2026041220;Inyecto Soplado;Distribuidor;20260313;Zona Centro Occid.;3000;ENV PET TRANSP COSMETIC OVAL 100 ML (PH) ACT 26041;3.999,645;PZA;3.999,645;PZA;75,52;265.043,28;42.406,92;307.450,20;F-26041;Contado;20260313;V-2;NA;;GV ClReg. Ampofr.;JORGE REYES;00-260412;2026041220;Cosmetica Cilindrica;Transparente;100 ml.;G;63.994,320;TO;0,063;Comercializadora;AM-Cosmética;ENVASES PT;442,96854;02;2026;0,19;681,80;109,08;790,89;DISERKHAT;70000421;Precio Base General;Distribuidor;0010000748;17;01;X;13.03.2026 - 08:15:00;;;00120005;1200
BIOQUIMICA INTERNACIONAL, C.A.;Distribuidores Trad.;Fact. Nac. Ampo.;7000012186;Inyecto Soplado;Venta Directa;20260220;Zona Centro Occid.;3000;ENVASE PET AMBAR FARMA  60 ML;8112,000;PZA;8112,000;PZA;59,81;485178,72;77628,60;562807,32;Factura;Contado;20260220;VED;NA;;GV ClReg. Ampofr.;JORGE REYES;00-056737;1202009418;Farma S/Impresión;Ambar;60 ml.;G;113568,000;TO;0,114;Industria Química;AM-Farma;ENVASES PT;402,33430;02;2026;0,15;1205,91;192,95;1398,85;BIOQUIMICA;70000054;Precio Base General;Distribuidor;0010000754;17;01;X;20.02.2026 - 22:04:07;;;00120005;1200
MOLINOS NACIONALES C.A. (MONACA);Manufactura;Fact. Nac. Ampo.;7000012154;Inyecto Soplado;Venta Directa;20260205;Zona Centro;3000;ENVASE MULTIUSOS 828ml  (23g);35280,000;PZA;35280,000;PZA;43,31;1528021,25;244483,40;1772504,65;Factura;Contado;20260205;VED;NA;;GV ClReg. Ampofr.;HORACIO HERNANDEZ;00-056698;1202009392;Jugos;Transparente;500 ml.;G;811440,000;TO;0,811;Alimentos;AM-Env. Plásticos;ENVASES PT;378,45820;02;2026;0,11;4037,49;646,00;4683,49;MOLINOS;70000808;Precio Base General;;0010000887;17;01;X;20.02.2026 - 22:04:07;;;00120003;1200
MOLINOS NACIONALES C.A. (MONACA);Manufactura;Fact. Nac. Ampo.;7000012155;Servicios;Venta Directa;20260205;Zona Centro;;FLETE POR VIAJE CORTINERO;1,000;SER;1,000;SER;220781,16;220781,16;0,00;220781,16;Factura;Contado;20260205;VED;NA;;GV ClReg. Ampofr.;HORACIO HERNANDEZ;00-056699;1202009393;Servicios Administrat.;;;KG;0,000;TO;0,000;Alimentos;Fletes;FLETE PROD TERMINADO;378,45820;02;2026;583,37;583,37;0,00;583,37;MOLINOS;91000036;Precio Base General;;0010000887;17;01;X;20.02.2026 - 22:04:07;;;00120003;1200
MOLINOS NACIONALES C.A. (MONACA);Manufactura;Fact. Nac. Ampo.;7000012165;Inyecto Soplado;Venta Directa;20260210;Zona Centro;3000;ENVASE MULTIUSOS 828ml  (23g);35280,000;PZA;35280,000;PZA;43,31;1528021,25;244483,40;1772504,65;Factura;Contado;20260210;VED;NA;;GV ClReg. Ampofr.;HORACIO HERNANDEZ;00-056712;1202009402;Jugos;Transparente;500 ml.;G;811440,000;TO;0,811;Alimentos;AM-Env. Plásticos;ENVASES PT;385,27200;02;2026;0,11;3966,08;634,57;4600,66;MOLINOS;70000808;Precio Base General;;0010000887;17;01;X;20.02.2026 - 22:04:07;;;00120003;1200
MOLINOS NACIONALES C.A. (MONACA);Manufactura;N/C Dev. Nac. Ampo.;7200000780;Inyecto Soplado;Venta Directa;20260211;Zona Centro;3000;ENVASE MULTIUSOS 828ml  (23g);-38469,74;PZA;-33753,84;PZA;-35,46;-1820537,23;-243343,68;-1789108,56;Abono;Contado;20260211;VED;NA;;GV ClReg. Ampofr.;HORACIO HERNANDEZ;00-056723;1206000339;Jugos;Transparente;500 ml.;G;-811440,000;TO;-0,811;Alimentos;AM-Env. Plásticos;ENVASES PT;388,73940;02;2026;-0,09;-4485,18;-564,06;-4726,05;MOLINOS;70000808;Precio Base General;;0010000887;17;01;X;20.02.2026 - 22:04:07;Z02;Reverso Total De Factura;00120003;1200
ENVASES METROPOLITANOS MM 1, C.A.;Distribuidores Enf.;Fact. Nac. Ampo.;7000012148;Inyecto Soplado;Distribuidor;20260205;Zona Metropolitana;3000;ENVASE PET AMBAR FARMA  60 ML;780,000;PZA;780,000;PZA;37,78;29470,74;4715,32;34186,06;Factura;Contado;20260205;VED;NA;;GV ClReg. Ampofr.;RAMON DAZA;00-056692;1202009391;Farma S/Impresión;Ambar;60 ml.;G;10920,000;TO;0,011;Comercializadora;AM-Farma;ENVASES PT;378,45820;02;2026;0,10;77,87;12,46;90,33;ENVASES;70000054;Precio Base General;Distribuidor;0010000890;17;01;X;20.02.2026 - 22:04:07;;;00120004;1200
NEGROPRO SOLUCIONES TECNICAS, S.A.;Distribuidores Enf.;Fact. Nac. Ampo.;7000012145;Inyecto Soplado;Venta Directa;20260204;Zona Metropolitana;3000;ENV PET TRANSP COSMETIC OVAL 100 ML (PH);1170,000;PZA;1170,000;PZA;0,18;211,65;33,86;245,51;Factura;Contado;20260204;USD;NA;;GV ClReg. Ampofr.;JORGE REYES;00-056689;1202009388;Cosmetica Cilindrica;Transparente;100 ml.;G;18720,000;TO;0,019;Productos De Limpiez;AM-Cosmética;ENVASES PT;0,00000;02;2026;0,18;211,65;33,86;245,51;NEGROPRO;70000421;Precio Base General;Distribuidor;0010001076;17;01;X;20.02.2026 - 22:04:07;;;00120005;1200
NEGROPRO SOLUCIONES TECNICAS, S.A.;Distribuidores Enf.;Fact. Nac. Ampo.;7000012145;Inyecto Soplado;Venta Directa;20260204;Zona Metropolitana;3000;ENVASE PET AMBAR FARMA 180 ML;704,000;PZA;704,000;PZA;0,26;182,66;29,23;211,89;Factura;Contado;20260204;USD;NA;;GV ClReg. Ampofr.;JORGE REYES;00-056689;1202009388;Farma S/Impresión;Ambar;180 ml.;G;16635,520;TO;0,017;Productos De Limpiez;AM-Farma;ENVASES PT;0,00000;02;2026;0,26;182,66;29,23;211,89;NEGROPRO;70000058;Precio Base General;Distribuidor;0010001076;17;01;X;20.02.2026 - 22:04:07;;;00120005;1200
