Sociedad;Cliente;Nombre del Cliente;Nombre del Vendedor;Vendedor;Asignación;Referencia;Cl.Doc.;Descripción Cl.Doc.;N°.Documento;Fecha Doc.;Fecha Base;Cond.Pago;Descripción Cond.Pago;D. Venc.;Fecha Venc.;Mon.F.;Valor monetario;No Vencido;1 -- 15;16 -- 30;31 -- 60;61 -- 90;91 -- 99999;T/C conversión 3;Importe en ML;Importe en MD;Mon.Doc.;Hora;Descripción Ramo;Descripción Gr Clien;Descripción Zona;Descripción Grupo Ve;Nombre Gte. Regional;Texto
1200;10002484;GRUPO KAMY FOOD, C.A ACT 26041;HERNANDEZ HORACIO ACT 26041;120003;7000010907;2026041220;S-;Documento cta.mayor AC-260412;2026041220;20260313;20260313;;;381;20260313;USD;-229,60;0,00;0,00;0,00;0,00;0,00;-200,00;58,54000;-13.440,78;-13.440,78;;13.03.2026 - 08:15:00;Alimentos ACT 26041;;Zona Centro ACT 26041;GV ClReg. Ampofr. ACT 26041;;Abono GRUPO KAMY ACT 26041
1200;10002484;GRUPO KAMY FOOD, C.A ACT 26041;HERNANDEZ HORACIO ACT 26041;120003;25526248411;20260412202;D-;Pago de deudor AC-260412;2026041220;20260313;20260313;;;17;20260313;USD;-527,28;0,00;0,00;-436,67;0,00;0,00;0,00;372,10571;-196.203,54;-196.203,54;;13.03.2026 - 08:15:00;Alimentos ACT 26041;;Zona Centro ACT 26041;GV ClReg. Ampofr. ACT 26041;;Anticipo a Factura ACT 26041
1200;10002484;GRUPO KAMY FOOD, C.A;HERNANDEZ HORACIO;120003;7000012170;7000012170;DA;Documento de deudor;1600005282;20260210;20260210;;;10;20260210;USD;-48,66;0,00;-48,66;0,00;0,00;0,00;0,00;385,30210;-18748,80;-18748,80;;20.02.2026 - 22:06:43;Alimentos;;Zona Centro;GV ClReg. Ampofr.;;20260200000064
1200;10002484;GRUPO KAMY FOOD, C.A;HERNANDEZ HORACIO;120003;;00-056717;O0;Factura.Nac.Ampofras;7000012170;20260210;20260210;NT00;Contado;10;20260210;USD;470,42;0,00;470,42;0,00;0,00;0,00;0,00;385,26940;181238,43;181238,43;;20.02.2026 - 22:06:43;Alimentos;;Zona Centro;GV ClReg. Ampofr.;;
1200;10003219;DISTRIBUIDORA C.G., C.A;REYES JORGE;120005;60505781372;60505781372;DZ;Pago de deudor;1400003026;20260219;20260219;;;1;20260219;USD;-946,59;0,00;-946,59;0,00;0,00;0,00;0,00;398,74579;-377448,78;-377448,78;;20.02.2026 - 22:06:43;Comercializadora;Manufactura;Zona Centro;GV ClReg. Ampofr.;;Anticipo a factura
1200;10003551;NEXUS A&M 2024, C.A;REYES JORGE;120005;25594520172;25594520172;DZ;Pago de deudor;1400003024;20251106;20251106;;;106;20251106;USD;-2839,47;0,00;0,00;0,00;0,00;0,00;-2839,47;227,55680;-646140,70;-646140,70;;20.02.2026 - 22:06:43;Cosmetica;Distribuidores Trad.;Zona Centro Occid.;GV ClReg. Ampofr.;;Anticipo a Factura
1200;10003630;GLOBAL IMPORT PLAST, C.A.;;0;00045286399;00045283613;SA;Documento cta.mayor;0100108323;20260211;20260211;;;9;20260211;USD;-4209,81;0,00;-4209,81;0,00;0,00;0,00;0,00;388,73899;-1636517,29;-1636517,29;;20.02.2026 - 22:06:43;Alimentos;Manufactura;Zona Centro;GV ClReg. Ampofr.;;CRUCE DE SALDOS GLOBAL IMPORT PLAS
1200;10003630;GLOBAL IMPORT PLAST, C.A.;;0;00-056694;00-056694;O0;Factura.Nac.Ampofras;7000012150;20260205;20260205;NT00;Contado;15;20260205;USD;4424,55;0,00;4424,55;0,00;0,00;0,00;0,00;378,45820;1674507,23;4424,55;;20.02.2026 - 22:06:43;Alimentos;Manufactura;Zona Centro;GV ClReg. Ampofr.;;
1200;10003630;GLOBAL IMPORT PLAST, C.A.;;0;00-056725;00-056725;O0;Factura.Nac.Ampofras;7000012174;20260212;20260212;NT00;Contado;8;20260212;USD;4923,49;0,00;4424,55;0,00;0,00;0,00;0,00;390,29440;1744331,63;4405,93;;20.02.2026 - 22:06:43;Alimentos;Manufactura;Zona Centro;GV ClReg. Ampofr.;;
1200;10000085;FARMATODO, C.A.;HERNANDEZ HORACIO;120003;ERROR SAP;;AB;Documento contable;0100048224;20201231;20201231;NT48;Crédito 48 horas;1875;20210102;USD;18586150,71;0,00;0,00;0,00;0,00;0,00;18586150,71;0,00001;185,86;185861507,12;;20.02.2026 - 22:06:43;Cadena Nacional;Cadena Nacional;Zona Metropolitana;GV ClReg. Ampofr.;;ERROR EN SAP (RECONVERSION MONETARIA)
1200;10001876;SOTO GLOBAL GROUP, C.A.;REYES JORGE;120005;ERROR SAP;;AB;Documento contable;0100047979;20201230;20201231;;;1877;20201231;USD;-1184280,51;0,00;0,00;0,00;0,00;0,00;-1184280,51;0,00001;-11,84;-11842805,09;;20.02.2026 - 22:06:43;Productos De Limpiez;Embotelladoras;Zona Metropolitana;GV ClReg. Ampofr.;;ERROR EN SAP (RECONVERSION MONETARIA)
