Razón Social;Gpo de Cliente;ClaseDoc.;Num.Factura;Sector;Canal;Fecha.Doc;Zona.Vtas;Almacen;Denominacion Material;Cantidad UMV;UM.Vtas;Cantidad UMB;UM.Base;Prec.Unitario;Monto Neto;IVA;Importe Final;Doc.Comercial;Cond.Pago;Fec.Venc.;Moneda.Doc.;Status de Anulacion;Doc.Anulac;Grp.Vend;Vendedor;Referencia;Pedido.Vta;Jerarquía 1;Jerarquía 2;Jerarquía 3;UM.Peso;Peso.Fact;Peso.Total;Um.PesoGen;Ramo;Gr.Material;Gr.Articulo;Tipo.Cambio;Mes;Ejercicio;Prec.Unitario 2;Monto Neto 2;IVA 2;Importe Final 2;Conc.Busq;Codigo_Mat;Listas_precios;;Cod_cliente;;Ind_retcl;Ind_auto_retcl;fechahora;CodMot;Tx Motivo;CodVend;OrgVtas
DISERKHAT, C.A.;Distribuidores Enf.;Fact. Nac-260412;2026041220;Inyecto Soplado;Distribuidor;20260313;Zona Centro Occid.;3000;ENVASE PET TRANSP FARMA 60 ML ACT 26041;3.946,800;PZA;3.946,800;PZA;42,58;132.849,29;21.255,88;154.105,17;F-26041;Contado;20260313;V-2;NA;;GV ClReg. Ampofr.;JORGE REYES;00-260412;2026041220;Farma S/Impresión;Transparente;60 ml.;G;53.952,756;TO;0,054;Comercializadora;AM-Farma;ENVASES PT;286,05508;11;2025;0,19;587,49;94,01;681,49;DISERKHAT;70000084;Precio Base General;Distribuidor;0010000748;17;01;X;13.03.2026 - 08:15:00;;;00120005;1200
DISERKHAT, C.A.;Distribuidores Enf.;Fact. Nac-260412;2026041220;Inyecto Soplado;Distribuidor;20260313;Zona Centro Occid.;3000;ENVASE PET AMBAR FARMA 120 ML (18gr) ACT 26041;3.389,344;PZA;3.389,344;PZA;55,74;163.058,24;26.089,31;189.147,55;F-26041;Contado;20260313;V-2;NA;;GV ClReg. Ampofr.;JORGE REYES;00-260412;2026041220;Farma S/Impresión;Ambar;120 ml.;G;61.008,188;TO;0,062;Comercializadora;AM-Farma;ENVASES PT;279,92851;11;2025;0,24;674,98;108,00;782,97;DISERKHAT;70000667;Precio Base General;Distribuidor;0010000748;17;01;X;13.03.2026 - 08:15:00;;;00120005;1200
DISERKHAT, C.A.;Distribuidores Enf.;Fact. Nac. Proy. PET;8000019748;Botellas;Distribuidor;20251105;Zona Centro Occid.;3000;BOTELLAS GENERICA 1 L (PCO) (27,9) 1904;0,98;PAL;1983,67;PZA;49613,28;41354,82;8056,20;62872,89;Factura;Contado;20251105;VED;NA;;GV ClReg. Proy. PET;JORGE REYES;00-0151838;1302007591;Aceite;Transparente;1000 ml.;G;53121,600;TO;0,053;Comercializadora;PP-Botella;BOTELLAS GASEOSAS;226,13050;11;2025;200,71;200,28;38,11;219,68;DISERKHAT;70000288;Precio Base General;Distribuidor;0010000748;17;01;X;03.12.2025 - 11:15:05;;;00120005;1300
DISERKHAT, C.A.;Distribuidores Enf.;Fact. Nac. Proy. PET;8000019922;Botellas;Distribuidor;20251121;Zona Centro Occid.;3000;BOTELLAS GENERICA 1 L (PCO) (27,9) 1904;4,000;PAL;7616,000;PZA;49192,74;196770,94;31483,35;228254,29;Factura;Contado;20251121;VED;NA;;GV ClReg. Proy. PET;JORGE REYES;00-0152025;1302007623;Aceite;Transparente;1000 ml.;G;212486,400;TO;0,212;Comercializadora;PP-Botella;BOTELLAS GASEOSAS;241,57800;11;2025;203,63;814,52;130,32;944,85;DISERKHAT;70000288;Precio Base General;Distribuidor;0010000748;17;01;X;03.12.2025 - 11:15:05;;;00120005;1300
DISERKHAT, C.A.;Distribuidores Enf.;Fact. Nac. Proy. PET;8000019925;Botellas;Distribuidor;20251121;Zona Centro Occid.;3000;BOTELLAS GENERICA 1 L (PCO) (27,9) 1904;1,000;PAL;1904,000;PZA;50177,06;50177,06;8028,33;58205,39;Factura;Contado;20251121;VED;NA;;GV ClReg. Proy. PET;JORGE REYES;00-0152028;1302007627;Aceite;Transparente;1000 ml.;G;53121,600;TO;0,053;Comercializadora;PP-Botella;BOTELLAS GASEOSAS;241,57800;11;2025;207,71;207,71;33,23;240,94;DISERKHAT;70000288;Precio Base General;Distribuidor;0010000748;17;01;X;03.12.2025 - 11:15:05;;;00120005;1300
ENVASES DOMPER ARAGUA, C.A.;Distribuidores Enf.;Fact. Nac. Ampo.;7000011942;Inyecto Soplado;Distribuidor;20251114;Zona Centro;3000;ENVASE PET TRANSP FARMA 120 ML (18gr);127,67;PZA;112,38;PZA;44,56;4900,71;910,41;7116,98;Factura;Contado;20251114;VED;NA;;GV ClReg. Ampofr.;JORGE REYES;00-056469;1202009238;Farma S/Impresión;Transparente;120 ml.;G;2106,000;TO;0,002;Comercializadora;AM-Farma;ENVASES PT;234,87150;11;2025;0,24;23,30;4,24;24,83;ENVASES;70000779;Precio Base General;Distribuidor;0010000762;17;01;X;03.12.2025 - 11:15:05;;;00120005;1200
ENVASES DOMPER ARAGUA, C.A.;Distribuidores Enf.;Fact. Nac. Ampo.;7000011994;Inyecto Soplado;Distribuidor;20251128;Zona Centro;3000;ENVASE PET AMBAR FARMA 240 ML;112,000;PZA;112,000;PZA;63,74;7138,97;1142,24;8281,21;Factura;Contado;20251128;VED;NA;;GV ClReg. Ampofr.;JORGE REYES;00-056526;1202009278;Farma S/Impresión;Ambar;240 ml.;G;2567,040;TO;0,003;Comercializadora;AM-Farma;ENVASES PT;245,66970;11;2025;0,26;29,06;4,65;33,71;ENVASES;70000059;Precio Base General;Distribuidor;0010000762;17;01;X;03.12.2025 - 11:15:05;;;00120005;1200
ENVASES DEL CENTRO, C.A.;Distribuidores Enf.;Fact. Nac. Ampo.;7000011936;Inyecto Soplado;Distribuidor;20251113;Zona Centro;3000;ENVASE PET TRANSP ESPECIAS 100 G;7000,000;PZA;7000,000;PZA;37,05;259379,40;41500,70;300880,10;Factura;Contado;20251113;VED;NA;;GV ClReg. Ampofr.;JORGE REYES;00-056463;1202009235;Especias;Transparente;100 gr.;G;105000,000;TO;0,105;Comercializadora;AM-Especias;ENVASES PT;233,55760;11;2025;0,16;1110,56;177,69;1288,25;ENVASES;70000080;Precio Base General;Distribuidor;0010000763;17;01;X;03.12.2025 - 11:15:05;;;00120005;1200
ENVASES DEL CENTRO, C.A.;Distribuidores Enf.;Fact. Nac. Ampo.;7000011936;Inyección Liviana;Distribuidor;20251113;Zona Centro;3000;TAPA FLIP TOP ESPECIAS 5 ORIFICIO NATURA;10000,000;PZA;10000,000;PZA;18,41;184106,00;29456,96;213562,96;Factura;Contado;20251113;VED;NA;;GV ClReg. Ampofr.;JORGE REYES;00-056463;1202009235;Tapa Especie;Blanco;42 gr.;G;69900,000;TO;0,070;Comercializadora;AM-Tapas Ampofrasca;TAPAS;233,55760;11;2025;0,08;788,27;126,12;914,39;ENVASES;70000785;Precio Base General;Distribuidor;0010000763;17;01;X;03.12.2025 - 11:15:05;;;00120005;1200
LABORATORIOS REVEEX DE;Laboratorios;Fact. Nac. Ampo.;7000011977;Inyecto Soplado;Venta Directa;20251125;Zona Centro;3000;ENVASE PET AMBAR FARMA  90 ML;40040,000;PZA;40040,000;PZA;49,17;1968646,68;314983,47;2283630,15;Factura;Contado;20251125;VED;NA;;GV ClReg. Ampofr.;RAMON DAZA;00-056509;1202009254;Farma S/Impresión;Ambar;90 ml.;G;624624,000;TO;0,625;Medicina Humana;AM-Farma;ENVASES PT;243,11050;11;2025;0,20;8097,74;1295,64;9393,38;LABORATORIOS;70000055;Precio Base General;;0010000782;17;01;X;03.12.2025 - 11:15:05;;;00120004;1200
MOLINOS NACIONALES C.A. (MONACA);Manufactura;Fact. Nac. Ampo.;7000011935;Servicios;Venta Directa;20251112;Zona Centro;;FLETE POR VIAJE CORTINERO;1,000;SER;1,000;SER;135951,93;135951,93;0,00;135951,93;Factura;Contado;20251112;VED;NA;;GV ClReg. Ampofr.;HORACIO HERNANDEZ;00-056462;1202009234;Servicios Administrat.;;;KG;0,000;TO;0,000;Alimentos;Fletes;FLETE PROD TERMINADO;233,04580;11;2025;583,37;583,37;0,00;583,37;MOLINOS;91000036;Precio Base General;;0010000887;17;01;X;03.12.2025 - 11:15:05;;;00120003;1200
MOLINOS NACIONALES C.A. (MONACA);Manufactura;Fact. Nac. Ampo.;7000011955;Inyecto Soplado;Venta Directa;20251119;Zona Centro;3000;ENVASE MULTIUSOS 828ml  (23g);30360,73;PZA;32524,07;PZA;41,53;1167209,72;226928,93;1413022,14;Factura;Contado;20251119;VED;NA;;GV ClReg. Ampofr.;HORACIO HERNANDEZ;00-056486;1202009247;Jugos;Transparente;500 ml.;G;770868,000;TO;0,771;Alimentos;PP-Botella;ENVASES PT;237,75050;11;2025;0,17;4850,38;885,89;6129,20;MOLINOS;70000808;Precio Base General;;0010000887;17;01;X;03.12.2025 - 11:15:05;;;00120003;1200
MOLINOS NACIONALES C.A. (MONACA);Manufactura;Fact. Nac. Ampo.;7000011956;Servicios;Venta Directa;20251119;Zona Centro;;FLETE POR VIAJE CORTINERO;1,000;SER;1,000;SER;138696,51;138696,51;0,00;138696,51;Factura;Contado;20251119;VED;NA;;GV ClReg. Ampofr.;HORACIO HERNANDEZ;00-056487;1202009249;Servicios Administrat.;;;KG;0,000;TO;0,000;Alimentos;Fletes;FLETE PROD TERMINADO;237,75050;11;2025;583,37;583,37;0,00;583,37;MOLINOS;91000036;Precio Base General;;0010000887;17;01;X;03.12.2025 - 11:15:05;;;00120003;1200
MOLINOS NACIONALES C.A. (MONACA);Manufactura;Fact. Nac. Proy. PET;8000019911;Tapas PT;Venta Directa;20251119;Zona Centro;3000;TAPA PCO 28MM 1810 NATURAL 3,10G (3.500);10,09;CS;10,82;CS;13426,23;146662,56;29887,53;206954,69;Factura;Contado;20251119;VED;NA;;GV ClReg. Proy. PET;;00-0152013;1302007613;Tapas S/Impresión;Transparente;28 mm. 1810;G;108500,000;TO;0,109;Alimentos;PP-Tap. Long Finish;TAPAS;237,75050;11;2025;77,89;560,24;93,67;850,04;MOLINOS;70000403;Precio Base General;;0010000887;17;01;X;03.12.2025 - 11:15:05;;;00000000;1300
MOLINOS NACIONALES C.A. (MONACA);Manufactura;Fact. Nac. Proy. PET;8000019912;Tapas PT;Venta Directa;20251119;Zona Centro;3000;TAPA PCO 28MM 1810 NATURAL 3,10G (3.500);10,000;CS;10,000;CS;15897,54;158975,40;25436,06;184411,46;Factura;Contado;20251119;VED;NA;;GV ClReg. Proy. PET;;00-0152014;1302007622;Tapas S/Impresión;Transparente;28 mm. 1810;G;108500,000;TO;0,109;Alimentos;PP-Tap. Long Finish;TAPAS;237,75050;11;2025;66,87;668,66;106,99;775,65;MOLINOS;70000403;Precio Base General;;0010000887;17;01;X;03.12.2025 - 11:15:05;;;00000000;1300
COSMETICOS THERMI CORP, C.A.;Manufactura;Fact. Nac. Ampo.;7000011993;Viales;Venta Directa;20251128;Zona Metropolitana;3000;FRASCO INYECTABLE TRANSPARENTE 24,5 X 55;2208,000;PZA;2208,000;PZA;38,97;86048,41;13767,75;99816,16;Factura;Contado;20251128;VED;NA;;GV ClReg. Ampofr.;RAMON DAZA;00-056525;1202009276;Ambar S/Impresión;;2 ml.;G;29653,440;TO;0,030;Cuidado Personal;AM-Ampollas;FRASCOS;245,66970;11;2025;0,16;350,26;56,04;406,30;COSMETICOS;70000107;Precio Base General;Cosmetica;0010000895;17;01;X;03.12.2025 - 11:15:05;;;00120004;1200
COSMETICOS THERMI CORP, C.A.;Manufactura;Fact. Nac. Ampo.;7000011996;Viales;Venta Directa;20251128;Zona Metropolitana;3000;FRASCO INYECTABLE TRANSPARENTE 24,5 X 55;1104,000;PZA;1104,000;PZA;38,97;43024,20;6883,87;49908,07;Factura;Contado;20251128;VED;NA;;GV ClReg. Ampofr.;RAMON DAZA;00-056528;1202009276;Ambar S/Impresión;;2 ml.;G;14826,720;TO;0,015;Cuidado Personal;AM-Ampollas;FRASCOS;245,66970;11;2025;0,16;175,13;28,02;203,15;COSMETICOS;70000107;Precio Base General;Cosmetica;0010000895;17;01;X;03.12.2025 - 11:15:05;;;00120004;1200
ATA ALTA TECNOLOGIA;Manufactura;Fact. Nac. Ampo.;7000011953;Inyecto Soplado;Venta Directa;20251118;Zona Metropolitana;3000;ENVASE PET SALSA INGLESA 300 ML;136,000;PZA;136,000;PZA;70,70;9614,70;1538,35;11153,05;Factura;Contado;20251118;VED;NA;;GV ClReg. Ampofr.;RAMON DAZA;00-056484;1202009245;Salsas;Transparente;300 ml.;G;3128,000;TO;0,003;Alimentos;AM-Salsas;ENVASES PT;236,83890;11;2025;0,30;40,60;6,50;47,09;ATA;70000070;Precio Base General;Alimentos;0010000896;17;01;X;03.12.2025 - 11:15:05;;;00120004;1200
VESUVIANA COSMETICS, C.A.;Manufactura;Fact. Nac. Ampo.;7000011932;Inyecto Soplado;Venta Directa;20251112;Zona Llanos;3000;ENVASE PET TRANSP COSMETIC OVAL 200 ML;1718,90;PZA;1969,53;PZA;60,97;113480,47;21319,14;168419,45;Factura;Contado;20251112;VED;NA;;GV ClReg. Ampofr.;RAMON DAZA;00-056459;1202009230;Cosmetica Oval;Transparente;200 ml.;G;42660,000;TO;0,043;Cuidado Personal;AM-Cosmética;ENVASES PT;233,04580;11;2025;0,31;606,81;75,13;675,37;VESUVIANA;70000077;Precio Base General;Cosmetica;0010000916;17;01;X;03.12.2025 - 11:15:05;;;00120004;1200
VESUVIANA COSMETICS, C.A.;Manufactura;Fact. Nac. Ampo.;7000011961;Inyecto Soplado;Venta Directa;20251120;Zona Llanos;3000;ENVASE PET TRANSP COSMETIC OVAL 200 ML;360,000;PZA;360,000;PZA;71,11;25600,02;4096,00;29696,02;Factura;Contado;20251120;VED;NA;;GV ClReg. Ampofr.;RAMON DAZA;00-056492;1202009255;Cosmetica Oval;Transparente;200 ml.;G;8532,000;TO;0,009;Cuidado Personal;AM-Cosmética;ENVASES PT;240,32090;11;2025;0,30;106,52;17,04;123,57;VESUVIANA;70000077;Precio Base General;Cosmetica;0010000916;17;01;X;03.12.2025 - 11:15:05;;;00120004;1200
INVERSIONES MIDA, C.A;Manufactura;Fact. Nac. Ampo.;7000011920;Inyecto Soplado;Distribuidor;20251107;Zona Centro;3000;ENVASE PET TRANSP ESPECIAS 100 G;4060,000;PZA;4060,000;PZA;28,47;115589,38;18494,30;134083,68;Factura;Contado;20251107;VED;NA;;GV ClReg. Ampofr.;HORACIO HERNANDEZ;00-056447;1202009222;Especias;Transparente;100 gr.;G;60900,000;TO;0,061;Cuidado Personal;AM-Especias;ENVASES PT;228,47960;11;2025;0,12;505,91;80,95;586,85;INVERSIONE;70000080;Precio Base General;Alimentos;0010000953;17;01;X;03.12.2025 - 11:15:05;;;00120003;1200
AGUA MINERAL MIBRISA, C.A.;Embotelladoras;Fact. Nac. Proy. PET;8000020028;Preformas;Venta Directa;20251128;Zona Metropolitana;3000;PREFORMAS TRANSPARENTE 15,28 GR;52833,000;PZA;52833,000;PZA;14,60;771271,46;123403,43;894674,89;Factura;Contado;20251128;VED;NA;;GV ClReg. Proy. PET;HORACIO HERNANDEZ;00-0152138;1302007639;Short Finish;;16,5 gr.;G;807288,240;TO;0,807;Agua;PP-Preforma;PREFORMAS;245,66970;11;2025;0,06;3139,47;502,31;3641,78;BRISA;70000196;Precio Base General;Agua;0010000957;17;01;X;03.12.2025 - 11:15:05;;;00120003;1300
PEPSI-COLA VENEZUELA C.A.;Embotelladoras;Fact. Nac. Proy. PET;8000019752;Preformas;Venta Directa;20251105;Zona Metropolitana;3000;PREFORMAS TRANSPARENTE 43,90G (PCO1810);172800,000;PZA;172800,000;PZA;0,15;26778,82;4284,61;31063,43;Factura;Crédito 15 Días;20251120;USD;NA;;GV ClReg. Proy. PET;OFICINA PROYECTOS PET;00-0151842;1302007593;Long Finish;Transparente;44 gr.;G;7585920,000;TO;7,586;Agua;PP-Preforma;PREFORMAS;0,00000;11;2025;0,15;26778,82;4284,61;31063,43;PEPSI-COLA;70000321;Precio Base General;Carbonatada;0010000975;17;01;X;03.12.2025 - 11:15:05;;;00130005;1300
