Sociedad;Cliente;Nombre del Cliente;Nombre del Vendedor;Vendedor;Asignación;Referencia;Cl.Doc.;Descripción Cl.Doc.;N°.Documento;Fecha Doc.;Fecha Base;Cond.Pago;Descripción Cond.Pago;D. Venc.;Fecha Venc.;Mon.F.;Valor monetario;No Vencido;1 -- 15;16 -- 30;31 -- 60;61 -- 90;91 -- 99999;T/C conversión 3;Importe en ML;Importe en MD;Mon.Doc.;Hora;Descripción Ramo;Descripción Gr Clien;Descripción Zona;Descripción Grupo Ve;Nombre Gte. Regional;Texto
1000;10002366;INVERSIONES TOTAL SERVICE 2015 CA ACT 13-03;ROMERO ADOLFO J. ACT 13-03;100127;6000138206;6000138206;DA;Documento de deudor ACT 13-03;1600048658;20260313;20260313;;;21;20260313;USD;-23,00;0,00;0,00;-20,00;0,00;0,00;0,00;367,28350;-8.447,52;-8.447,52;;13.03.2026 - 08:15:00;Mayorista ACT 13-03;Mayoristas ACT 13-03;Zona Metropolitana ACT 13-03;GV Ger. Reg. Capital ACT 13-03;CALDERA P  JESUS D ACT 13-03;Pendiente Comprobante ACT 13-03
1000;10002366;INVERSIONES TOTAL SERVICE 2015 CA ACT 13-03;ROMERO ADOLFO J. ACT 13-03;100127;6000138207;6000138206;DA;Documento de deudor ACT 13-03;1600048658;20260313;20260313;;;21;20260313;USD;-70,46;0,00;0,00;-68,41;0,00;0,00;0,00;367,31180;-25.881,63;-25.881,63;;13.03.2026 - 08:15:00;Mayorista ACT 13-03;Mayoristas ACT 13-03;Zona Metropolitana ACT 13-03;GV Ger. Reg. Capital ACT 13-03;CALDERA P  JESUS D ACT 13-03;Pendiente Comprobante ACT 13-03
1000;10002366;INVERSIONES TOTAL SERVICE 2015 CA;ROMERO ADOLFO J.;100127;00-0627480;00-0627480;F0;Factura.Nac.Pharsana;6000138206;20260130;20260202;NT15;Crédito 15 Días;3;20260217;USD;193,32;0,00;193,32;0,00;0,00;0,00;0,00;367,30902;71008,18;71008,18;;20.02.2026 - 22:05:32;Mayorista;Mayoristas;Zona Metropolitana;GV Ger. Reg. Capital;CALDERA P  JESUS D;
1000;10002366;INVERSIONES TOTAL SERVICE 2015 CA;ROMERO ADOLFO J.;100127;00-0627481;00-0627481;F0;Factura.Nac.Pharsana;6000138207;20260130;20260202;NT15;Crédito 15 Días;3;20260217;USD;661,31;0,00;661,31;0,00;0,00;0,00;0,00;367,30432;242902,02;242902,02;;20.02.2026 - 22:05:32;Mayorista;Mayoristas;Zona Metropolitana;GV Ger. Reg. Capital;CALDERA P  JESUS D;
1000;10002366;INVERSIONES TOTAL SERVICE 2015 CA;ROMERO ADOLFO J.;100127;6000135720;00-0628550;D4;ND.Nac. Pharsana;6400006385;20260211;20260211;NT15;Crédito 15 Días;0;20260226;USD;297,08;297,08;0,00;0,00;0,00;0,00;0,00;279,56682;83053,71;83053,71;;20.02.2026 - 22:05:32;Mayorista;Mayoristas;Zona Metropolitana;GV Ger. Reg. Capital;CALDERA P  JESUS D;ND DIFERENCIA EN PRECIO REF
1000;10002366;INVERSIONES TOTAL SERVICE 2015 CA;ROMERO ADOLFO J.;100127;6000135722;00-0628551;D4;ND.Nac. Pharsana;6400006386;20260211;20260211;NT15;Crédito 15 Días;0;20260226;USD;436,45;381,70;0,00;0,00;0,00;0,00;0,00;279,56085;102239,45;96114,88;;20.02.2026 - 22:05:32;Mayorista;Mayoristas;Zona Metropolitana;GV Ger. Reg. Capital;CALDERA P  JESUS D;ND DIFERENCIA EN PRECIO REF
1000;10002371;DROTUYA, C.A.;ROMERO ADOLFO J.;100127;6000132946;6000132944;DA;Documento de deudor;1600046972;20251031;20251031;;;112;20251031;USD;-121,88;0,00;0,00;0,00;0,00;0,00;-121,88;223,64900;-27258,34;-27258,34;;20.02.2026 - 22:05:32;Drogueria;Distribuidores;Zona Metropolitana;GV Ger. Reg. Capital;CALDERA P  JESUS D;Pendiente Comprobante
1000;10002371;DROTUYA, C.A.;ROMERO ADOLFO J.;100127;00-0620097;00-0620097;F0;Factura.Nac.Pharsana;6000132946;20251031;20251103;NT15;Crédito 15 Días;94;20251118;USD;1178,19;0,00;0,00;0,00;0,00;0,00;1178,19;223,64580;263497,25;263497,25;;20.02.2026 - 22:05:32;Drogueria;Distribuidores;Zona Metropolitana;GV Ger. Reg. Capital;CALDERA P  JESUS D;
1000;10002371;DROTUYA, C.A.;ROMERO ADOLFO J.;100127;6000132946;00-0626422;C2;NC.Nac.Pharsana;6200044281;20260122;20260122;NT15;Crédito 15 Días;14;20260206;USD;-827,41;0,00;-827,41;0,00;0,00;0,00;0,00;223,64463;-185045,80;-185045,80;;20.02.2026 - 22:05:32;Drogueria;Distribuidores;Zona Metropolitana;GV Ger. Reg. Capital;CALDERA P  JESUS D;NC SECUREZZA CLASSIC L REG (6x6UN)
1000;10002376;SUMINISTRO, MERCADEO Y DISTRIBUCION C.A;MOGOLLON ALEXANDER JOSE;100048;6000137552;6000137552;DA;Documento de deudor;1600048470;20260123;20260123;;;28;20260123;USD;-20,45;0,00;0,00;-20,45;0,00;0,00;0,00;352,66455;-7211,99;-7211,99;;20.02.2026 - 22:05:32;Distribuidores Enf.;Distribuidores;Zona Occidente;GV Ger. Reg. DEnfoc.;MARTINEZ R  OLMEDO R;Pendiente Comprobante
