Razón Social;Gpo de Cliente;ClaseDoc.;Num.Factura;Sector;Canal;Fecha.Doc;Zona.Vtas;Almacen;Denominacion Material;Cantidad UMV;UM.Vtas;Cantidad UMB;UM.Base;Prec.Unitario;Monto Neto;IVA;Importe Final;Doc.Comercial;Cond.Pago;Fec.Venc.;Moneda.Doc.;Status de Anulacion;Doc.Anulac;Grp.Vend;Vendedor;Referencia;Pedido.Vta;Jerarquía 1;Jerarquía 2;Jerarquía 3;UM.Peso;Peso.Fact;Peso.Total;Um.PesoGen;Ramo;Gr.Material;Gr.Articulo;Tipo.Cambio;Mes;Ejercicio;Prec.Unitario 2;Monto Neto 2;IVA 2;Importe Final 2;Conc.Busq;Codigo_Mat;Listas_precios;;Cod_cliente;;Ind_retcl;Ind_auto_retcl;fechahora;CodMot;Tx Motivo;CodVend;OrgVtas
DISERKHAT, C.A.;Distribuidores Enf.;Fact. Nac. Ampo.;7000012171;Inyecto Soplado;Distribuidor;20260313;Zona Centro Occid.;3000;ENVASE PET TRANSP FARMA  60 ML ACT 13-03;3.494,400;PZA;3.494,400;PZA;63,02;196.613,01;31.458,08;228.071,09;Factura;Contado;20260313;VED;NA;;GV ClReg. Ampofr.;JORGE REYES;00-056718;1202009400;Farma S/Impresión;Transparente;60 ml.;G;47.768,448;TO;0,048;Comercializadora;AM-Farma;ENVASES PT;435,38813;02;2026;0,16;505,77;80,92;586,69;DISERKHAT;70000084;Precio Base General;Distribuidor;0010000748;17;01;X;13.03.2026 - 08:15:00;;;00120005;1200
DISERKHAT, C.A.;Distribuidores Enf.;Fact. Nac. Ampo.;7000012171;Inyecto Soplado;Distribuidor;20260313;Zona Centro Occid.;3000;ENV PET TRANSP COSMETIC OVAL 100 ML (PH) ACT 13-03;3.363,750;PZA;3.363,750;PZA;75,16;219.859,54;35.177,53;255.037,08;Factura;Contado;20260313;VED;NA;;GV ClReg. Ampofr.;JORGE REYES;00-056718;1202009400;Cosmetica Cilindrica;Transparente;100 ml.;G;53.820,000;TO;0,054;Comercializadora;AM-Cosmética;ENVASES PT;447,05031;02;2026;0,20;565,57;90,49;656,06;DISERKHAT;70000421;Precio Base General;Distribuidor;0010000748;17;01;X;13.03.2026 - 08:15:00;;;00120005;1200
DISERKHAT, C.A.;Distribuidores Enf.;Fact. Nac. Ampo.;7000012172;Inyecto Soplado;Distribuidor;20260211;Zona Centro Occid.;3000;ENV PET TRANSP COSMETIC OVAL 100 ML (PH);3510,000;PZA;3510,000;PZA;66,27;232596,12;37215,38;269811,50;Factura;Contado;20260211;VED;NA;;GV ClReg. Ampofr.;JORGE REYES;00-056719;1202009406;Cosmetica Cilindrica;Transparente;100 ml.;G;56160,000;TO;0,056;Comercializadora;AM-Cosmética;ENVASES PT;388,73940;02;2026;0,17;598,33;95,73;694,07;DISERKHAT;70000421;Precio Base General;Distribuidor;0010000748;17;01;X;20.02.2026 - 22:05:28;;;00120005;1200
DISERKHAT, C.A.;Distribuidores Enf.;Fact. Nac. Proy. PET;8000020759;Botellas;Distribuidor;20260211;Zona Centro Occid.;3000;BOTELLAS LICOR 1,000 L (39) G;2,000;PAL;3570,000;PZA;153613,28;307226,56;49156,25;356382,81;Factura;Contado;20260211;VED;NA;;GV ClReg. Proy. PET;JORGE REYES;00-0152916;1302007777;Licores;Transparente;1000 ml.;G;139230,000;TO;0,139;Comercializadora;PP-Botella;ENVASES PT;388,73940;02;2026;395,16;790,31;126,45;916,77;DISERKHAT;70000335;Precio Base General;Distribuidor;0010000748;17;01;X;20.02.2026 - 22:05:28;;;00120005;1300
DISERKHAT, C.A.;Distribuidores Enf.;Fact. Nac. Proy. PET;8000020760;Botellas;Distribuidor;20260211;Zona Centro Occid.;3000;BOTELLAS LICOR 1,000 L (39) G;1,000;PAL;1785,000;PZA;156797,97;156797,97;25087,68;181885,65;Factura;Contado;20260211;VED;NA;;GV ClReg. Proy. PET;JORGE REYES;00-0152917;1302007783;Licores;Transparente;1000 ml.;G;69615,000;TO;0,070;Comercializadora;PP-Botella;ENVASES PT;388,73940;02;2026;403,35;403,35;64,54;467,89;DISERKHAT;70000335;Precio Base General;Distribuidor;0010000748;17;01;X;20.02.2026 - 22:05:28;;;00120005;1300
BIOQUIMICA INTERNACIONAL, C.A.;Distribuidores Trad.;Fact. Nac. Ampo.;7000012186;Inyecto Soplado;Venta Directa;20260220;Zona Centro Occid.;3000;ENVASE PET AMBAR FARMA  60 ML;8112,000;PZA;8112,000;PZA;59,81;485178,72;77628,60;562807,32;Factura;Contado;20260220;VED;NA;;GV ClReg. Ampofr.;JORGE REYES;00-056737;1202009418;Farma S/Impresión;Ambar;60 ml.;G;113568,000;TO;0,114;Industria Química;AM-Farma;ENVASES PT;402,33430;02;2026;0,15;1205,91;192,95;1398,85;BIOQUIMICA;70000054;Precio Base General;Distribuidor;0010000754;17;01;X;20.02.2026 - 22:05:28;;;00120005;1200
MOLINOS NACIONALES C.A. (MONACA);Manufactura;Fact. Nac. Ampo.;7000012154;Inyecto Soplado;Venta Directa;20260205;Zona Centro;3000;ENVASE MULTIUSOS 828ml  (23g);35280,000;PZA;35280,000;PZA;43,31;1528021,25;244483,40;1772504,65;Factura;Contado;20260205;VED;NA;;GV ClReg. Ampofr.;HORACIO HERNANDEZ;00-056698;1202009392;Jugos;Transparente;500 ml.;G;811440,000;TO;0,811;Alimentos;AM-Env. Plásticos;ENVASES PT;378,45820;02;2026;0,11;4037,49;646,00;4683,49;MOLINOS;70000808;Precio Base General;;0010000887;17;01;X;20.02.2026 - 22:05:28;;;00120003;1200
MOLINOS NACIONALES C.A. (MONACA);Manufactura;Fact. Nac. Ampo.;7000012155;Servicios;Venta Directa;20260205;Zona Centro;;FLETE POR VIAJE CORTINERO;1,000;SER;1,000;SER;220781,16;220781,16;0,00;220781,16;Factura;Contado;20260205;VED;NA;;GV ClReg. Ampofr.;HORACIO HERNANDEZ;00-056699;1202009393;Servicios Administrat.;;;KG;0,000;TO;0,000;Alimentos;Fletes;FLETE PROD TERMINADO;378,45820;02;2026;583,37;583,37;0,00;583,37;MOLINOS;91000036;Precio Base General;;0010000887;17;01;X;20.02.2026 - 22:05:28;;;00120003;1200
MOLINOS NACIONALES C.A. (MONACA);Manufactura;Fact. Nac. Ampo.;7000012165;Inyecto Soplado;Venta Directa;20260210;Zona Centro;3000;ENVASE MULTIUSOS 828ml  (23g);35280,000;PZA;35280,000;PZA;43,31;1528021,25;244483,40;1772504,65;Factura;Contado;20260210;VED;NA;;GV ClReg. Ampofr.;HORACIO HERNANDEZ;00-056712;1202009402;Jugos;Transparente;500 ml.;G;811440,000;TO;0,811;Alimentos;AM-Env. Plásticos;ENVASES PT;385,27200;02;2026;0,11;3966,08;634,57;4600,66;MOLINOS;70000808;Precio Base General;;0010000887;17;01;X;20.02.2026 - 22:05:28;;;00120003;1200
MOLINOS NACIONALES C.A. (MONACA);Manufactura;N/C Dev. Nac. Ampo.;7200000780;Inyecto Soplado;Venta Directa;20260211;Zona Centro;3000;ENVASE MULTIUSOS 828ml  (23g);-35280,000;PZA;-35280,000;PZA;-43,31;-1528021,25;-244483,40;-1772504,65;Abono;Contado;20260211;VED;NA;;GV ClReg. Ampofr.;HORACIO HERNANDEZ;00-056723;1206000339;Jugos;Transparente;500 ml.;G;-811440,000;TO;-0,811;Alimentos;AM-Env. Plásticos;ENVASES PT;388,73940;02;2026;-0,11;-3930,71;-628,91;-4559,62;MOLINOS;70000808;Precio Base General;;0010000887;17;01;X;20.02.2026 - 22:05:28;Z02;Reverso Total De Factura;00120003;1200
MOLINOS NACIONALES C.A. (MONACA);Manufactura;Fact. Nac. Proy. PET;8000020668;Tapas PT;Venta Directa;20260205;Zona Centro;3000;TAPA PCO 28MM 1810 NATURAL 3,10G (3.500);12,000;CS;12,000;CS;18393,31;220719,72;35315,16;256034,88;Factura;Contado;20260205;VED;NA;;GV ClReg. Proy. PET;;00-0152821;1302007765;Tapas S/Impresión;Transparente;28 mm. 1810;G;130200,000;TO;0,130;Alimentos;PP-Tap. Long Finish;TAPAS;378,45820;02;2026;48,60;583,21;93,31;676,52;MOLINOS;70000403;Precio Base General;;0010000887;17;01;X;20.02.2026 - 22:05:28;;;00000000;1300
